seeds: 72424080 18256724 17856874 21795937 56684194 13186661 4083132 5150098 96081241 56580154 51183426 2828022 91700149 2044587 71702379 696504 43034742 2171885 46297276 435632 42245371 599763 15711362 834474 40223558 166169 15123928 41071 10183909 4518457 961777 3117705 48010199 1222164 94560567 258375 49243931 1043051 507069 407271 42069670 14386 46788648 153855 54895204 846238 293950 12 90718946 792928 50592162 73892 45264310 1029950 41313268 656045 40633290 175383 46970531 702942 54086865 456081 16768942 891605 16590732 23257 70445002 977901 40875757 22347 95213608 33994 9985593 177637 40091566 110973 39834343 114967 95517789 461242 40489923 118956 54784190 22245 17766940 71952 9243657 125991 71543069 148077 95251224 205969 56120091 242238 47763017 3172 94254682 75616 50666569 1804

seed-to-soil map:
28372634 26637430 4401
15945585 10505577 5641

soil-to-fertilizer map:
21421713 16249465 15001995
43684674 33610298 5747
51330271 64124738 2247
38457690 91059288 2759
22061155 65931084 17488087
704233 16109686 4520
4376576 98548422 1990
4260715 9076843 6482
40764331 86939940 1363
27853562 93365678 1133
66977477 16215980 193
68215427 6814715 3742
69411214 85642971 3114
54943554 55583596 7432
66625867 83486482 1017
37879506 43545885 3078
10511274 83921740 8063
15313600 59536256 657397
19146607 42806995 8388
2198534 45370059 2328
52112913 38896122 9668
28845927 96040597 5190
52430488 54007406 8757
18873782 97891537 9684
29987714 34351449 7194
41855093 32313689 8850
99224477 49493373 5616
73026670 15082328 1618
21008685 9562185 265
12309050 12573850 8443
25612231 44563869 3952
25244962 42255040 8606
67494787 8620187 7703
72605381 48580546 1259
23855087 46578797 6440
89017746 86202042 2546
13385796 46950053 4517
11952791 41446013 1457
29045209 5629628 5521
61420955 7364643 2849
55235735 36034156 447
8901292 12800276 4258
86086135 48920017 1278
42098912 49932679 5651
98782326 89837310 5157
97043287 62818518 5236
18833008 54376001 3074
16156333 43253900 2969
90526799 45238980 2006
12071201 89796548 727
2390562 1691566 8961
95199639 52735125 1728
69849935 60765510 5651
15846164 46633239 7523
75426642 5655479 9579
70796187 98040936 9062
63650145 37194118 6586
53894748 62084684 3579
81692828 9141925 5313
91992467 41576957 1936
95569698 99607595 6795
60692167 94123548 8913
76675753 60216451 9859
37646632 38663923 7085
72506496 92763499 1796
9962141 49523824 1700
56331047 50559878 5413
27574540 6037339 5420
26460275 55194893 1690
39490645 50029839 1813
36335108 91253482 5847
31742395 53178474 6815
11311152 5958825 3848
70774173 11225047 778
55816206 90028292 662545
48357584 98675637 2927
27209231 9190613 3957
75974588 94790954 9338
55282700 12924947 3323
42819308 32299324 4692
84651868 36433785 4225
46615090 11481867 7501
23005069 5257294 635
13715731 10283011 5163
80762708 84887526 4209
94027445 954173 8910
87619549 58723821 7001
35305326 10730460 2847
25869032 98876581 1648
74307052 12658414 7218
97083994 12617656 8508
12653198 97457616 7737
36799056 99851468 2768
16446955 8143182 2894
87649964 39914351 9583
87401132 47643919 5300
86952548 42481781 67
66517700 15887960 2670
88539832 97388430 8959
14141835 91151967 6420

fertilizer-to-water map:
29980050 75503375 28108262
40885624 24551417 15441367
20420204 53266896 6797950
8456627 72179299 2402
15219552 4501996 9087
81067766 15468599 3541
24185744 73587363 4194
95292715 44262525 4293
42671205 62689101 9102546
46062307 42997030 8976
28243362 20905480 6073
246716 71885223 8981
82959803 15653590 277
16857895 46940560 2057702
327538 10870978 8123
48017018 2565594 5785
46353650 7282351 1082
67918918 15703671 8539
57054330 784456 8046
56296509 7834153 4999
68247804 262783 8377
61006473 75390063 8257
49453908 43666134 3845
44181774 5320829 3707
8377981 20849883 3722
5733743 3639935 5828
89084953 45627386 6016
61573461 6145485 2358
36833456 22046592 414
4658342 680495 3348
93513855 16693200 4625
63268529 8609571 366
12616267 19085593 3445
20016128 6161792 5175
47585962 13935235 4209
64761638 10933704 2701
88541025 24469742 2511
56523006 18654165 4254
88663335 1338841 5027
51104082 45807944 2134
31553088 20151332 5320
23571523 22377453 1157
78003739 46749529 8561
58891637 11941682 1318
7747332 22219441 1725
98809869 12744888 1042
37220257 45273034 1190
8774265 42925409 7117
28587483 42239128 4652
48155943 4626107 3503
8861675 61417186 6753
56480577 17325149 4502
24467716 61766587 5938
28916229 17157415 4652
94009093 15803967 7706
4307467 17402739 9621
36474363 11265626 8929
51305832 23146994 8867
63339156 1868684 5021
21310730 41311217 9331
22005365 8915464 4915
71237464 40078485 6062
75074617 21210401 5853
68586884 61664363 3065
88313901 14960929 6215
67101090 49109720 3879
88029199 62122404 797
38612284 45157471 8834
31242358 19432154 3124
70709228 19844022 311
42886707 5452167 1125
59749369 51023127 8881
96341155 52216765 5161
90452379 537196 1251
8908670 72052168 1416
79757822 19384450 7369
75582975 3987294 7170
66958100 20459514 6712
68189549 5785021 42
28873539 43684518 5153
62219497 8961648 4898
49042042 21403892 7413
34178713 4683799 3849
70724521 46221948 3248
84240225 74641490 6581
22126946 4284350 3272
97917240 8948479 1305
98706486 869366 1616
98208862 61324853 2177
47725316 44150327 2317
37905305 34060 4845
92574096 60150124 7275
4643229 22529550 6501
71762380 42979793 8650
74786791 42229693 1925
93767268 23833603 2910
51444794 73856565 2119
54868812 40136906 8340
96106018 52034398 8893
25040194 46885802 7090

water-to-light map:
87236384 77740872 12596024
87198913 95634894 9138
83166258 2586864 4775
19767747 25343255 13344575
55666281 42964527 14602146
72713381 76041197 1548220
51288785 72038170 5352
90026421 96127923 6893
43820963 64902902 3931054
42418593 10465240 5455
49171250 40040291 8378
25514231 61774640 1582
82883729 96860699 1324
65032444 4347578 73939
86235204 62230288 382
48018466 21777682 3344
14610727 91329168 6374
96375732 4756055 700
63763096 99582217 2217
68913709 98522206 9892
65963164 41825908 9783
10282495 8385704 1157086
78373205 71710336 320
93153087 92195461 262
19825102 98836823 6632
89046199 12125956 8205
8968706 17048671 3404
34986254 21173833 3291
56888384 69454854 6015
52091886 62002592 3842
63758548 98382019 3565
53439000 40572259 1379
88390127 4029186 7047
76610348 21297739 6372
73831443 97275482 9539
69158750 60671683 4621
91922527 69135135 595
98418888 58863 5850
80643426 5185032 4413
28502445 93407527 2448
36796885 96804117 223
90553962 1299936 6812
83756968 2206746 4608
58358663 96735766 1464
70892472 22330336 679508
84316978 63732201 3650
28658078 72107832 4777
98053027 98664804 36
68013333 14228852 6238
45618548 93034537 6658
17938266 8357976 1466
78786875 39295968 6065
32382921 92961981 2477
44343607 39621178 3293
78496456 95020734 6575
87285621 41105484 1060
33898718 96208549 2594
20286293 16545872 571
8783599 42234430 5474
57919659 91292037 6019
7841910 93466158 7906
51161135 25274316 4480
37387071 71992773 2694
14193881 70967996 9253
3564106 75903750 6125
67037263 94020897 6284
10375896 99180128 5481
91678304 96090087 3233
37447883 98421542 2160
7052773 17611480 6159
13985792 5790076 370
69228864 41529238 8367
9988030 74612346 1539
37235068 39258653 6675
99945517 39917881 889
2688770 19646788 981
29823737 23797889 7090
42816557 98717829 705
42249199 11547695 9241
63103263 20516364 5933
66138628 93941266 3366
6474550 94490035 5590
91959662 92509978 8479
75290100 70792884 7512
7051030 17257293 5157
55853431 97912484 4873
63792748 15216367 7141
28684418 61211967 5215
44302924 61420762 1597
2617792 69465877 3769
58403973 7236765 6865
69666485 39774114 3775
82490375 70991120 8357
57172407 41410914 9744
64811320 756609 5565
73606107 75855320 1823
94179685 7316411 1935
54735851 15627631 9732
50711553 58621694 3334
61877363 9769216 227

light-to-temperature map:
14350338 59256469 18266129
64402125 45928757 4775
22220791 18115646 25972007
36596161 82301396 5456
29772662 13709312 4463
17851054 85291015 4743719
86638223 2125658 9869
83384950 8380709 2582
29552338 6091350 1355
63622698 14276017 9735
47105031 84218469 3510
34944681 55439240 7952
49455261 98133821 1844240
27318656 93270738 6484
90433703 79991539 4840
65989155 93329243 5314
50117617 8712649 7623
39862634 55466628 1461
11339985 10544095 6771
90334117 50902513 1152
86845546 84439795 55
43506787 56217679 8883
26858177 44120125 6819
39604955 50429071 855
5633644 14697504 9370
90020072 96789209 9699
9357891 16038883 1221
45856107 92677010 3304
79534265 91690926 1629
19539481 17176594 8797
6462012 92427178 3403
51685552 7378745 4407
39488340 96961096 6465
2032947 48279980 2183
21634383 54189151 261
948098 6225599 1362
51430248 44102825 8086
86932975 52128265 6523
95416826 11748303 208
84539038 47006250 9169
36160131 44603637 6089
38051376 57601304 120837
36846306 7241451 6005
25678834 90113675 6811
39714289 91965932 7326
37120404 13482925 4754
97347052 1029003 999
71860604 53514940 768
76684718 11290067 4629
57604816 93992818 3840
913715 56848 4482
92209097 79207625 7001
96064495 82591293 6901
6557296 49169422 6736
2042948 17978555 2154
12654370 82120005 5593
95437079 8071644 9129
23485851 44989223 1806
22778386 17332897 764
86874887 57924800 6529
68052531 82542091 4379
68307140 4617675 1918
12765833 58056793 991
72930981 56965633 4238
32219961 55429979 7485
382583 44580057 9817
78037122 47062368 8445
4364262 15033917 9327
95857592 52061015 9542
49822595 2698509 4309
24833513 13316430 6478
922325 50065216 901
37558374 13093068 7901
83188865 7791161 2096
78188021 77902590 1309
35179417 92665216 6610
75570916 77988914 5308
79566666 58401202 6084
2051940 44702115 3327
17916279 52010143 8568
99369403 3822313 2206
64981788 14829600 8522
21673497 81239083 2548
49484024 12041677 4742
3082180 9518250 7328
51248633 10635173 8613
16528332 57858440 7831
10278886 95594333 1874
74013875 58387927 9853
35593540 53008868 7651
80911615 58624451 5531
17897895 18078742 9586
70046214 15119240 8396
84301437 4553868 3375
70084740 83760161 1285
32722248 45260317 8884
52176198 97534968 3003
74751170 52991331 4328
43752567 46773289 2089
78590761 83783291 5763

temperature-to-humidity map:
27692272 65196602 9467
91831202 25785871 34699992
27516327 69666521 7913
49101070 98549263 34760065
16929931 5554814 7506775
59412986 62045003 2123
63576181 70380106 4345
60155375 66168805 682
58799600 90964768 7840
13476928 2547047 2896
8799262 64984791 3175
4124832 61910068 8750
8889570 63950472 7686
19487008 64351640 9882
27882651 13595533 9028
56363789 83587518 287
29253516 87584891 5372
73955296 82865859 9409
92018775 70799154 8042
50412317 5011021 4455
49996769 74488412 3143
99462627 93715587 4951
73156558 3892198 8280
57508559 92210406 9179
64333570 76192086 2624957
93534176 95446461 9582
60202323 86136995 612
53763304 71324269 721
51273248 88128089 8079
47840569 82069451 5438
54316038 83268336 2798
33995999 15702108 6821
33981605 91336892 7036
16475773 23922234 9470
13501572 24804559 9325
91061081 76087589 5082
47037088 72415011 8871
17062963 89644368 6290
46975003 93405846 6407
33247471 14742108 6635
36076343 94578671 815
44566687 16182285 9127
59244517 5104173 5131
2844616 83527175 689
34280105 66679450 9741
62898519 91178054 2861
40342629 70547518 7254
73472957 97722847 9356
39048229 92706824 9932
5942839 21526766 2716
32779115 73162492 1955
69129429 70737726 9705
53042345 15587417 2309
46844092 64679507 2259
25703276 65491856 6245
48030961 63918964 7622
99288017 22304908 8934
28211119 24599813 9230
84616582 71366373 384
72388908 63999069 4961
30142129 95030936 2189
94745089 68058403 401
54495963 15335379 2941
62284425 89177081 5397
97917855 94525309 8049
69966469 64957329 3207
26610198 107283 8752
93961401 304034 1802950
95114438 69403425 6345
67738522 70302055 78
96202264 60522205 7535
14475836 95230003 775
91862939 20418262 1697
72054003 82654443 8723
63590490 82362763 4688
95909307 13336520 5599
65371769 25438681 1260
8749629 96730315 8653
4267384 82695735 2450
81837231 4795152 1412
77133934 97229561 4198
19927074 82057521 2219
4135355 84561307 7123
57687278 68340873 2475
68490638 3748594 2433
34135059 92251555 4929
95866542 63542353 4780
81225534 15010669 1216
18180371 63894736 5019
25841943 67681011 3085
49934257 79287212 7636
85414199 62988812 6360
78540337 65928566 650
56355218 80494985 4030
86885157 86060256 8503
94809058 64541544 5440
77512247 13503796 5841
32511417 92070680 5663
7572205 18466471 3511
76995784 95635836 1340

humidity-to-location map:
39100264 92005730 8973
70650687 99331108 595
25613506 31829489 3439
31045794 56719208 10630754
98194472 52686529 5725
3405146 33640921 6224
3467162 46997132 1930
29893864 71419474 7494
19184736 80647909 1292
35034024 12441872 5017
15835859 46124737 8432
40265714 78521731 5469
2949120 35027368 6216
81945249 22634167 27
45398965 35229356 1545147
9439427 3652645 6949
88052313 29192498 3389
71487633 18972762 3380
26979745 33465265 7570
80044755 77153003 5153
41320819 20393989 9856
13122326 55526524 697
76733709 79185295 1667
18146194 86244950 5721
12108146 19438678 2272
24547809 90789649 9258
50871845 95419118 1308
63640033 9739179 2580
91316019 50169801 2302
10490392 39060458 8722
34761137 24168456 9543
16760598 24483218 5666
70096764 13008773 368
11739923 93434178 1877
24513930 33599507 6725
91309565 55124707 9013
66501711 33851478 3265
60414319 43128495 2585
44623554 32196264 7019
579167 51788011 373
88796416 43984660 3339
21374569 16361065 3428
97604564 99438946 1555
68876301 538885 2929128
41591384 278491 6457
38906828 45609432 6286
38311149 90533299 4462
56173311 42636665 240
54264885 87048199 3523
47126608 96330495 2510
26093065 91855982 8623
954093 11455901 3210
17981434 21688927 3598
60910401 41788400 5565
52483853 42277145 7970
25789189 25220023 4714
33386498 6245546 5321
59328157 7968043 7072
68440363 84395340 1170
53356400 18693811 3475
17451793 90581350 3185
541787 88847823 3895
99772956 39412773 7876
59800827 95591502 3542
62931568 83055988 730
55403393 12421322 5649
48372900 9513689 9650
30903023 12772983 8346
29374356 68058062 9996
35614744 42967 6190
9454738 37845445 544
52899315 32026641 8613
60325725 79866098 317
2321650 43575392 8690
48331512 53791998 8221
40686485 32906218 9918
18652746 88876011 8131
98993204 69064405 9219
79954181 50348979 7711
57982911 41283292 935
26008946 93176947 495
85135430 36780813 6664
64203563 20012191 8407
74479955 20105881 5178
20512392 83358585 4645
61718950 11232513 2534
12084155 5815567 747
15331104 70793293 5380
66614717 86976865 1298
56966053 77243936 7048
38941659 40694484 8550
68255848 7646153 9545
68307158 8287805 2316
34476672 26728275 846
99465404 13859455 1847
3165117 85136104 5051
57436485 68798787 9603
68707866 5326832 9042
40000281 8493792 9790
12049469 86184004 8704
